Configuracion,Epocas,Learning_Rate,Precision,Correctas,Total,Tiempo_Carga,Tiempo_Entrenamiento,Tiempo_Evaluacion,Tiempo_Total
BCELoss_Adam_Low,30,0.1000,40.50,81,200,8,1814,109,1931
BCELoss_Adam_High,10,0.0010,90.00,180,200,8,21836,109,21953
BCELoss_SGD_Low,10,0.0010,13.50,27,200,8,17868,111,17987
BCELoss_SGD_High,30,0.1000,83.00,166,200,8,54057,112,54177
MSELoss_Adam_Low,30,0.1000,8.50,17,200,8,75046,112,75166
MSELoss_Adam_High,10,0.0010,87.50,175,200,8,22243,113,22364
MSELoss_SGD_Low,10,0.0010,9.00,18,200,8,18154,112,18274
MSELoss_SGD_High,30,0.1000,68.50,137,200,8,52852,107,52967
